id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
247030,Terraforming Mars: Prelude,2018,0,8.40978,8.84707,16106,1,,,,,,,,
224517,Brass: Birmingham,2018,1,8.40655,8.5834,50192,0,,,,,,1.0,,
161936,Pandemic Legacy: Season 1,2015,2,8.37032,8.52021,54987,0,,,,,,2.0,1.0,
342942,Ark Nova,2021,3,8.34254,8.53492,49741,0,,,,,,3.0,,
174430,Gloomhaven,2017,4,8.33433,8.57124,64118,0,,,,,,4.0,2.0,
363622,The Castles of Burgundy: Special Edition,2023,0,8.3147,9.1526,7886,0,,,,,,,,
233078,Twilight Imperium: Fourth Edition,2017,5,8.23113,8.58243,25403,0,,,,,,5.0,4.0,
316554,Dune: Imperium,2020,6,8.22822,8.42701,50463,0,,,,,,6.0,,
167791,Terraforming Mars,2016,7,8.20412,8.35197,104174,0,,,,,,7.0,,
115746,War of the Ring: Second Edition,2011,8,8.192,8.54693,22718,0,,,,,,,3.0,1.0
